Unnamed: 0,Authorization Group,Bus. Transac. Type,Calculate Tax,Cash Flow-Relevant Doc.,Cleared Item,Clearing Date,Clearing Entry Date,Clearing Fiscal Year,Country Key,Currency,Debit/Credit ind,Transaction Value,Document Is Back-Posted,Exchange rate,Fiscal Year.1,Fiscal Year.2,Posting period.1,Ref. Doc. Line Item
164,60,RFAD,,False,Selected,2019-02-01,2019-02-21,2019.0,US,USD,H,-38657.0,,,,2019,1,2
165,60,RFAD,,False,Selected,2019-02-01,2019-02-21,2019.0,US,USD,S,40199.04,,,,2019,2,2
166,60,RFAD,,False,Not Selected,,,,US,USD,S,5281994.81,,,,2019,12,25
167,60,RFAD,,False,Not Selected,,,,US,USD,H,-5276679.0,,,,2019,1,25
168,60,RFAD,,False,Not Selected,,,,US,USD,S,196991.49,,,,2019,12,4
169,60,RFAD,,False,Not Selected,,,,US,USD,H,-201488.36,,,,2019,1,4
170,60,RFAD,,False,Selected,2019-02-01,2019-02-21,2019.0,US,USD,H,-509150.52,,,,2019,1,1
171,60,RFAD,,False,Selected,2019-02-01,2019-02-21,2019.0,US,USD,S,520816.41,,,,2019,2,1
172,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,S,204540.0,,,,2019,12,1
173,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,H,-198984.34,,,,2019,1,1
174,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,H,-120302.0,,,,2019,1,4
175,60,RFAD,,False,Selected,2019-12-01,2019-12-13,2019.0,US,USD,S,112410.74,,,,2019,12,4
176,60,RFBU,,False,Not Selected,,,,US,USD,H,-11334.0,,,,2019,1,2
177,60,RFBU,,False,Not Selected,,,,US,USD,H,-309373.9,,,,2019,1,44
178,60,RFBU,,False,Not Selected,,,,US,USD,H,-602863.83,,,,2019,1,27
179,60,RFBU,,False,Not Selected,,,,US,USD,H,-2321141.0,,,,2019,1,234
180,60,RFBU,,False,Not Selected,,,,US,USD,H,-35613.0,,,,2019,1,1
181,60,RFBU,,False,Not Selected,,,,US,USD,S,4150509.78,X,,2011.0,2018,12,1
182,60,RFBU,,False,Not Selected,,,,US,USD,H,-89242.98,X,,2013.0,2018,12,1
183,60,RFBU,,False,Not Selected,,,,US,USD,H,-2499701.08,X,,2016.0,2018,12,1
184,60,RFBU,,False,Not Selected,,,,US,USD,H,-1183354.0,X,,2016.0,2018,12,1
185,60,RFBU,,False,Not Selected,,,,US,USD,H,-681557.43,X,,2017.0,2018,12,1
186,60,RFBU,,False,Not Selected,,,,US,USD,H,-217599.0,X,,2017.0,2018,12,1
187,60,RFBU,,False,Not Selected,,,,US,USD,H,-1574959.0,X,,2017.0,2018,12,2
188,60,RFBU,,False,Not Selected,,,,US,USD,H,-214221.0,X,,2017.0,2018,12,1
